timestamp,cpu_usage_percent,memory_usage_percent,request_latency_ms,error_rate_percent,active_connections,transaction_count,failed_transactions,is_anomaly,anomaly_type
2026-05-17 09:24:51.606390,30.37,25.26,111.25,3.89,587,566,25,0,normal
2026-05-17 09:29:51.606390,28.47,30.54,164.24,2.26,309,812,20,0,normal
2026-05-17 09:34:51.606390,30.83,26.79,151.06,3.31,445,791,28,0,normal
2026-05-17 09:39:51.606390,33.45,29.39,128.91,2.66,398,563,21,0,normal
2026-05-17 09:44:51.606390,28.18,29.82,134.89,3.98,334,638,26,0,normal
2026-05-17 09:49:51.606390,28.19,31.99,114.9,2.59,280,538,16,0,normal
2026-05-17 09:54:51.606390,33.63,26.65,141.72,2.57,367,671,20,0,normal
2026-05-17 09:59:51.606390,31.19,23.23,158.56,2.7,461,723,22,0,normal
2026-05-17 10:04:51.606390,29.3,30.91,99.21,3.41,649,606,27,0,normal
2026-05-17 10:09:51.606390,32.34,34.14,156.69,5.37,381,777,45,0,normal
2026-05-17 10:14:51.606390,29.32,33.02,175.68,2.11,563,802,20,0,normal
2026-05-17 10:19:51.606390,29.31,30.96,135.26,2.09,556,804,21,0,normal
2026-05-17 10:24:51.606390,31.44,29.56,168.74,4.8,701,784,38,0,normal
2026-05-17 10:29:51.606390,24.98,32.15,232.17,2.79,591,616,20,0,normal
2026-05-17 10:34:51.606390,25.54,28.59,144.6,2.99,597,727,26,0,normal
2026-05-17 10:39:51.606390,29.03,31.49,159.54,2.69,604,774,29,0,normal
2026-05-17 10:44:51.606390,27.68,31.55,125.61,2.13,442,885,22,0,normal
2026-05-17 10:49:51.606390,31.66,32.66,153.2,3.49,477,739,27,0,normal
2026-05-17 10:54:51.606390,28.0,36.06,161.57,3.41,646,781,31,0,normal
2026-05-17 10:59:51.606390,26.49,31.32,153.62,2.4,329,646,17,0,normal
2026-05-17 11:04:51.606390,36.61,30.57,127.12,2.55,506,673,20,0,normal
2026-05-17 11:09:51.606390,31.54,31.53,163.91,4.01,441,660,27,0,normal
2026-05-17 11:14:51.606390,32.42,28.05,201.6,2.26,597,747,23,0,normal
2026-05-17 11:19:51.606390,27.95,30.19,171.2,4.32,532,995,46,0,normal
2026-05-17 11:24:51.606390,30.59,30.77,186.61,2.48,637,749,22,0,normal
2026-05-17 11:29:51.606390,32.56,30.54,150.65,3.09,563,825,30,0,normal
2026-05-17 11:34:51.606390,28.77,31.89,180.26,4.94,419,845,48,0,normal
2026-05-17 11:39:51.606390,33.36,29.94,166.15,3.32,424,680,24,0,normal
2026-05-17 11:44:51.606390,30.43,33.83,129.25,2.72,573,745,23,0,normal
2026-05-17 11:49:51.606390,31.36,31.58,167.35,3.36,497,851,31,0,normal
2026-05-17 11:54:51.606390,30.43,31.57,128.05,2.61,521,832,25,0,normal
2026-05-17 11:59:51.606390,37.79,30.93,138.82,2.51,668,590,18,0,normal
2026-05-17 12:04:51.606390,33.3,32.67,170.88,8.01,680,885,74,0,normal
2026-05-17 12:09:51.606390,30.17,34.01,174.13,3.69,784,771,29,0,normal
2026-05-17 12:14:51.606390,35.82,30.63,129.54,3.34,572,774,27,0,normal
2026-05-17 12:19:51.606390,29.69,31.04,196.85,2.74,540,867,25,0,normal
2026-05-17 12:24:51.606390,33.98,31.75,182.4,2.35,646,978,27,0,normal
2026-05-17 12:29:51.606390,27.47,29.67,144.1,2.34,548,806,20,0,normal
2026-05-17 12:34:51.606390,29.37,30.72,119.13,3.11,551,944,31,0,normal
2026-05-17 12:39:51.606390,33.95,31.41,160.91,3.74,584,682,27,0,normal
2026-05-17 12:44:51.606390,35.57,34.11,151.89,3.07,769,839,29,0,normal
2026-05-17 12:49:51.606390,33.87,32.89,168.67,4.14,674,772,33,0,normal
2026-05-17 12:54:51.606390,33.01,32.75,154.39,2.34,685,855,22,0,normal
2026-05-17 12:59:51.606390,32.46,34.06,105.07,2.76,765,797,24,0,normal
2026-05-17 13:04:51.606390,29.61,32.56,158.21,2.65,713,715,23,0,normal
2026-05-17 13:09:51.606390,31.89,33.62,160.7,2.97,509,761,26,0,normal
2026-05-17 13:14:51.606390,32.67,32.63,188.88,2.45,711,685,18,0,normal
2026-05-17 13:19:51.606390,37.22,33.37,148.94,5.46,724,719,43,0,normal
2026-05-17 13:24:51.606390,35.09,31.67,220.25,2.63,688,897,26,0,normal
2026-05-17 13:29:51.606390,28.77,27.96,112.55,4.93,603,824,44,0,normal
2026-05-17 13:34:51.606390,35.03,32.57,209.24,2.93,677,873,30,0,normal
2026-05-17 13:39:51.606390,32.91,35.68,163.19,6.61,620,1031,70,0,normal
2026-05-17 13:44:51.606390,32.03,34.69,195.71,3.18,525,820,29,0,normal
2026-05-17 13:49:51.606390,35.9,34.77,172.33,5.05,550,913,50,0,normal
2026-05-17 13:54:51.606390,37.16,35.31,204.13,2.38,693,853,22,0,normal
2026-05-17 13:59:51.606390,36.86,33.02,158.33,3.76,532,1126,44,0,normal
2026-05-17 14:04:51.606390,31.78,33.39,138.54,4.73,548,556,29,0,normal
2026-05-17 14:09:51.606390,33.37,31.76,214.12,2.55,704,786,28,0,normal
2026-05-17 14:14:51.606390,35.3,32.37,168.11,2.5,642,923,28,0,normal
2026-05-17 14:19:51.606390,37.23,34.23,178.17,2.95,687,782,25,0,normal
2026-05-17 14:24:51.606390,32.87,35.41,208.58,93.73,506,914,856,1,error_spike
2026-05-17 14:29:51.606390,33.75,32.72,140.59,3.18,684,852,29,0,normal
2026-05-17 14:34:51.606390,30.99,32.1,189.42,3.15,563,944,30,0,normal
2026-05-17 14:39:51.606390,30.72,33.0,153.87,2.55,527,745,22,0,normal
2026-05-17 14:44:51.606390,36.75,34.2,167.61,2.4,579,875,23,0,normal
2026-05-17 14:49:51.606390,38.38,30.11,173.75,4.06,765,905,41,0,normal
2026-05-17 14:54:51.606390,34.1,28.41,126.58,2.49,593,871,23,0,normal
2026-05-17 14:59:51.606390,37.33,31.9,148.23,3.4,849,873,33,0,normal
2026-05-17 15:04:51.606390,35.18,30.4,210.6,4.84,417,971,50,0,normal
2026-05-17 15:09:51.606390,32.16,31.82,196.66,2.61,468,682,20,0,normal
2026-05-17 15:14:51.606390,35.18,32.54,168.21,3.47,756,863,32,0,normal
2026-05-17 15:19:51.606390,38.71,31.93,177.39,2.46,781,730,22,0,normal
2026-05-17 15:24:51.606390,33.99,35.74,161.28,3.3,537,926,34,0,normal
2026-05-17 15:29:51.606390,38.79,33.49,210.81,2.55,630,767,24,0,normal
2026-05-17 15:34:51.606390,26.24,33.44,164.11,3.71,694,603,24,0,normal
2026-05-17 15:39:51.606390,36.57,34.08,177.09,2.73,600,929,27,0,normal
2026-05-17 15:44:51.606390,34.37,30.56,204.52,3.0,638,824,27,0,normal
2026-05-17 15:49:51.606390,33.21,34.92,146.83,3.29,624,886,35,0,normal
2026-05-17 15:54:51.606390,34.38,32.69,216.92,2.56,475,993,25,0,normal
2026-05-17 15:59:51.606390,28.15,34.18,124.25,3.73,589,888,35,0,normal
2026-05-17 16:04:51.606390,32.77,30.22,214.5,2.66,606,845,27,0,normal
2026-05-17 16:09:51.606390,34.5,29.25,154.44,3.39,616,823,29,0,normal
2026-05-17 16:14:51.606390,37.87,34.0,158.35,2.48,432,713,21,0,normal
2026-05-17 16:19:51.606390,31.88,33.11,108.94,3.47,681,807,32,0,normal
2026-05-17 16:24:51.606390,31.01,30.56,152.01,2.44,618,1026,27,0,normal
2026-05-17 16:29:51.606390,31.93,30.62,134.46,2.86,500,791,25,0,normal
2026-05-17 16:34:51.606390,36.18,34.61,147.44,2.59,785,813,24,0,normal
2026-05-17 16:39:51.606390,34.43,29.98,161.56,3.68,571,954,40,0,normal
2026-05-17 16:44:51.606390,31.85,35.65,194.42,2.61,577,674,22,0,normal
2026-05-17 16:49:51.606390,34.98,30.56,171.92,4.44,670,890,42,0,normal
2026-05-17 16:54:51.606390,33.74,33.64,174.93,4.53,794,670,31,0,normal
2026-05-17 16:59:51.606390,36.35,31.7,132.84,2.52,674,868,26,0,normal
2026-05-17 17:04:51.606390,30.23,32.79,131.89,3.14,659,789,32,0,normal
2026-05-17 17:09:51.606390,31.36,30.5,212.28,2.28,476,853,27,0,normal
2026-05-17 17:14:51.606390,31.16,31.26,136.27,2.68,585,690,23,0,normal
2026-05-17 17:19:51.606390,27.95,31.67,208.02,3.44,523,738,29,0,normal
2026-05-17 17:24:51.606390,33.23,29.58,151.05,3.26,646,858,30,0,normal
2026-05-17 17:29:51.606390,33.13,33.07,158.42,3.17,656,741,26,0,normal
2026-05-17 17:34:51.606390,32.36,30.56,190.47,2.52,739,53,25,1,transaction_drop
2026-05-17 17:39:51.606390,31.65,31.13,196.52,2.66,360,813,24,0,normal
2026-05-17 17:44:51.606390,28.1,29.6,155.05,2.3,513,747,278,1,failed_transaction_spike
2026-05-17 17:49:51.606390,31.09,26.46,146.73,3.46,706,760,30,0,normal
2026-05-17 17:54:51.606390,31.33,31.2,156.71,2.89,436,792,25,0,normal
2026-05-17 17:59:51.606390,29.95,36.41,168.54,3.42,657,770,31,0,normal
2026-05-17 18:04:51.606390,30.38,32.11,175.17,2.32,650,815,21,0,normal
2026-05-17 18:09:51.606390,32.07,30.5,148.56,2.42,534,705,20,0,normal
2026-05-17 18:14:51.606390,36.52,30.01,167.01,2.44,394,685,21,0,normal
2026-05-17 18:19:51.606390,31.39,30.58,197.6,2.06,524,833,18,0,normal
2026-05-17 18:24:51.606390,31.64,31.63,159.9,2.45,682,700,23,0,normal
2026-05-17 18:29:51.606390,30.65,28.18,157.82,3.66,690,688,28,0,normal
2026-05-17 18:34:51.606390,25.11,32.77,102.91,4.31,557,494,22,0,normal
2026-05-17 18:39:51.606390,30.79,31.97,69.56,2.76,439,638,19,0,normal
2026-05-17 18:44:51.606390,31.05,31.98,160.14,2.64,710,659,19,0,normal
2026-05-17 18:49:51.606390,38.26,31.42,145.65,2.06,619,688,16,0,normal
2026-05-17 18:54:51.606390,30.3,30.58,133.06,4.14,446,670,30,0,normal
2026-05-17 18:59:51.606390,31.78,31.89,155.82,2.04,571,841,23,0,normal
2026-05-17 19:04:51.606390,28.95,30.45,134.54,4.74,518,604,29,0,normal
2026-05-17 19:09:51.606390,25.55,28.56,170.2,2.51,424,612,19,0,normal
2026-05-17 19:14:51.606390,32.49,28.12,138.95,2.26,523,697,20,0,normal
2026-05-17 19:19:51.606390,31.32,29.47,113.97,4.42,599,572,30,0,normal
2026-05-17 19:24:51.606390,31.43,32.36,166.09,1.86,459,838,20,0,normal
2026-05-17 19:29:51.606390,26.33,26.79,129.88,2.71,609,762,24,0,normal
2026-05-17 19:34:51.606390,33.27,26.33,152.19,2.64,313,565,18,0,normal
2026-05-17 19:39:51.606390,24.86,29.6,122.08,2.09,710,783,20,0,normal
2026-05-17 19:44:51.606390,30.83,29.37,116.92,2.4,494,804,22,0,normal
2026-05-17 19:49:51.606390,35.64,29.61,138.94,2.9,596,568,21,0,normal
2026-05-17 19:54:51.606390,26.1,29.75,136.81,3.14,510,566,20,0,normal
2026-05-17 19:59:51.606390,27.37,28.82,150.83,1.84,406,621,16,0,normal
2026-05-17 20:04:51.606390,27.29,30.79,114.49,4.38,429,471,22,0,normal
2026-05-17 20:09:51.606390,25.48,24.61,67.47,1.8,242,535,11,0,normal
2026-05-17 20:14:51.606390,22.34,26.16,109.58,1.89,502,573,14,0,normal
2026-05-17 20:19:51.606390,27.2,27.61,146.39,1.93,452,663,16,0,normal
2026-05-17 20:24:51.606390,23.81,24.53,113.66,1.66,414,621,13,0,normal
2026-05-17 20:29:51.606390,28.42,27.46,115.19,1.75,508,598,13,0,normal
2026-05-17 20:34:51.606390,24.24,31.14,152.18,5.92,437,565,34,0,normal
2026-05-17 20:39:51.606390,31.65,27.86,101.24,2.0,494,482,14,0,normal
2026-05-17 20:44:51.606390,24.65,28.28,76.32,1.74,529,672,19,0,normal
2026-05-17 20:49:51.606390,26.04,25.29,117.79,1.74,378,670,14,0,normal
2026-05-17 20:54:51.606390,29.44,26.58,108.09,2.89,350,551,17,0,normal
2026-05-17 20:59:51.606390,23.31,27.06,93.63,62.37,261,503,313,1,error_spike
2026-05-17 21:04:51.606390,25.43,25.6,102.29,1.68,385,693,17,0,normal
2026-05-17 21:09:51.606390,28.67,28.8,122.3,1.41,418,562,9,0,normal
2026-05-17 21:14:51.606390,19.92,27.35,107.28,1.64,240,577,12,0,normal
2026-05-17 21:19:51.606390,25.3,24.02,116.77,1.44,515,582,12,0,normal
2026-05-17 21:24:51.606390,25.53,26.73,161.97,1.49,291,418,7,0,normal
2026-05-17 21:29:51.606390,27.1,27.24,97.29,1.95,163,688,20,0,normal
2026-05-17 21:34:51.606390,21.04,28.52,115.93,1.65,522,498,10,0,normal
2026-05-17 21:39:51.606390,20.79,29.4,92.31,2.11,176,620,17,0,normal
2026-05-17 21:44:51.606390,26.32,24.21,82.2,1.68,469,684,12,0,normal
2026-05-17 21:49:51.606390,25.65,24.62,90.05,4.21,445,546,25,0,normal
2026-05-17 21:54:51.606390,25.51,23.72,93.24,3.75,405,420,20,0,normal
2026-05-17 21:59:51.606390,25.8,25.77,118.39,2.22,321,289,10,0,normal
2026-05-17 22:04:51.606390,20.37,25.53,162.4,1.58,361,456,10,0,normal
2026-05-17 22:09:51.606390,23.1,26.57,70.45,1.62,415,485,13,0,normal
2026-05-17 22:14:51.606390,23.29,24.45,79.43,1.67,212,402,8,0,normal
2026-05-17 22:19:51.606390,20.27,23.96,90.04,2.44,408,473,17,0,normal
2026-05-17 22:24:51.606390,28.01,24.9,103.82,1.74,403,503,12,0,normal
2026-05-17 22:29:51.606390,23.83,22.93,99.85,3.08,340,559,18,0,normal
2026-05-17 22:34:51.606390,18.84,28.78,130.48,4.02,257,437,26,0,normal
2026-05-17 22:39:51.606390,24.38,21.38,50.0,1.55,404,455,9,0,normal
2026-05-17 22:44:51.606390,19.49,24.97,50.0,1.96,361,442,10,0,normal
2026-05-17 22:49:51.606390,24.78,28.65,77.09,1.24,209,463,10,0,normal
2026-05-17 22:54:51.606390,25.89,24.61,124.89,1.36,274,409,8,0,normal
2026-05-17 22:59:51.606390,19.96,24.22,50.0,1.67,392,408,12,0,normal
2026-05-17 23:04:51.606390,25.31,23.89,50.0,1.37,322,414,8,0,normal
2026-05-17 23:09:51.606390,23.66,24.24,109.12,3.23,419,476,17,0,normal
2026-05-17 23:14:51.606390,24.89,27.35,99.3,1.31,276,375,5,0,normal
2026-05-17 23:19:51.606390,28.11,20.18,59.29,1.75,210,415,11,0,normal
2026-05-17 23:24:51.606390,21.69,27.67,62.43,2.07,530,641,14,0,normal
2026-05-17 23:29:51.606390,20.16,21.75,62.91,2.32,142,550,16,0,normal
